"No.","Time","Source","Destination","Protocol","Length","Info"
"53","0.083839723","127.0.0.1","127.0.0.1","TCP","110","53150  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=605 Len=44 TSval=2706769004 TSecr=2706759273"
"54","0.083863539","127.0.0.1","127.0.0.1","TCP","66","8080  >  53150 [ACK] Seq=1 Ack=45 Win=512 Len=0 TSval=2706769004 TSecr=2706769004"
"63","0.101186762","127.0.0.1","127.0.0.1","TCP","66","51768  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2706769021 TSecr=2706769021"
"65","0.101198076","127.0.0.1","127.0.0.1","TCP","66","51776  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2706769021 TSecr=2706769021"
"68","0.101404735","127.0.0.1","127.0.0.1","TCP","66","51780  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2706769021 TSecr=2706769021"
"69","0.101479186","127.0.0.1","127.0.0.1","TCP","415","51776  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2706769021 TSecr=2706769021"
"70","0.101479186","127.0.0.1","127.0.0.1","TCP","415","51768  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2706769021 TSecr=2706769021"
"71","0.101489592","127.0.0.1","127.0.0.1","TCP","66","8080  >  51776 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2706769021 TSecr=2706769021"
"72","0.101489592","127.0.0.1","127.0.0.1","TCP","66","8080  >  51768 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2706769021 TSecr=2706769021"
"75","0.101527795","127.0.0.1","127.0.0.1","TCP","66","51794  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2706769021 TSecr=2706769021"
"78","0.101623198","127.0.0.1","127.0.0.1","TCP","66","51798  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2706769022 TSecr=2706769022"
"79","0.101680677","127.0.0.1","127.0.0.1","TCP","415","51780  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2706769022 TSecr=2706769021"
"80","0.101688849","127.0.0.1","127.0.0.1","TCP","66","8080  >  51780 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2706769022 TSecr=2706769022"
"81","0.101771051","127.0.0.1","127.0.0.1","TCP","415","51794  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2706769022 TSecr=2706769021"
"82","0.101779642","127.0.0.1","127.0.0.1","TCP","66","8080  >  51794 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2706769022 TSecr=2706769022"
"83","0.101858422","127.0.0.1","127.0.0.1","TCP","415","51798  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2706769022 TSecr=2706769022"
"84","0.101866454","127.0.0.1","127.0.0.1","TCP","66","8080  >  51798 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2706769022 TSecr=2706769022"
"85","0.102682616","127.0.0.1","127.0.0.1","TCP","1411","8080  >  51768 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2706769023 TSecr=2706769021"
"86","0.102698610","127.0.0.1","127.0.0.1","TCP","66","51768  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2706769023 TSecr=2706769023"
"87","0.103230728","127.0.0.1","127.0.0.1","TCP","361","51768  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2706769023 TSecr=2706769023"
"88","0.103856783","127.0.0.1","127.0.0.1","TCP","1411","8080  >  51776 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2706769024 TSecr=2706769021"
"89","0.103868866","127.0.0.1","127.0.0.1","TCP","66","51776  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2706769024 TSecr=2706769024"
"90","0.104384781","127.0.0.1","127.0.0.1","TCP","361","51776  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2706769024 TSecr=2706769024"
"91","0.104883236","127.0.0.1","127.0.0.1","TCP","831","8080  >  51768 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2706769025 TSecr=2706769023"
"92","0.105525634","127.0.0.1","127.0.0.1","TCP","119","51768  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2706769025 TSecr=2706769025"
"93","0.105788096","127.0.0.1","127.0.0.1","TCP","1411","8080  >  51780 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2706769026 TSecr=2706769022"
"94","0.105801855","127.0.0.1","127.0.0.1","TCP","66","51780  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2706769026 TSecr=2706769026"
"95","0.107050123","127.0.0.1","127.0.0.1","TCP","361","51780  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2706769027 TSecr=2706769026"
"96","0.107106415","127.0.0.1","127.0.0.1","TCP","831","8080  >  51776 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2706769027 TSecr=2706769024"
"97","0.107829898","127.0.0.1","127.0.0.1","TCP","119","51776  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2706769028 TSecr=2706769027"
"98","0.107994513","127.0.0.1","127.0.0.1","TCP","1411","8080  >  51794 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2706769028 TSecr=2706769022"
"99","0.108009110","127.0.0.1","127.0.0.1","TCP","66","51794  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2706769028 TSecr=2706769028"
"101","0.108839659","127.0.0.1","127.0.0.1","TCP","361","51794  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2706769029 TSecr=2706769028"
"103","0.108953221","127.0.0.1","127.0.0.1","TCP","1904","51768  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=77440 Len=1838 TSval=2706769029 TSecr=2706769025"
"104","0.108963627","127.0.0.1","127.0.0.1","TCP","66","8080  >  51768 [ACK] Seq=2111 Ack=2536 Win=86272 Len=0 TSval=2706769029 TSecr=2706769025"
"105","0.109111550","127.0.0.1","127.0.0.1","TCP","831","8080  >  51780 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2706769029 TSecr=2706769027"
"106","0.109781046","127.0.0.1","127.0.0.1","TCP","119","51780  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2706769030 TSecr=2706769029"
"107","0.110123477","127.0.0.1","127.0.0.1","TCP","1411","8080  >  51798 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2706769030 TSecr=2706769022"
"108","0.110143451","127.0.0.1","127.0.0.1","TCP","66","51798  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2706769030 TSecr=2706769030"
"111","0.110882369","127.0.0.1","127.0.0.1","TCP","1904","51776  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=77440 Len=1838 TSval=2706769031 TSecr=2706769027"
"112","0.110892845","127.0.0.1","127.0.0.1","TCP","66","8080  >  51776 [ACK] Seq=2111 Ack=2536 Win=86272 Len=0 TSval=2706769031 TSecr=2706769028"
"113","0.111142806","127.0.0.1","127.0.0.1","TCP","361","51798  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2706769031 TSecr=2706769030"
"114","0.111160615","127.0.0.1","127.0.0.1","TCP","831","8080  >  51794 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2706769031 TSecr=2706769029"
"115","0.112287710","127.0.0.1","127.0.0.1","TCP","119","51794  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2706769032 TSecr=2706769031"
"117","0.113251027","127.0.0.1","127.0.0.1","TCP","1901","51780  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=77440 Len=1835 TSval=2706769033 TSecr=2706769029"
"118","0.113261992","127.0.0.1","127.0.0.1","TCP","66","8080  >  51780 [ACK] Seq=2111 Ack=2533 Win=86272 Len=0 TSval=2706769033 TSecr=2706769030"
"120","0.115439844","127.0.0.1","127.0.0.1","TCP","1903","51794  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=77440 Len=1837 TSval=2706769035 TSecr=2706769031"
"121","0.115452345","127.0.0.1","127.0.0.1","TCP","66","8080  >  51794 [ACK] Seq=2111 Ack=2535 Win=85632 Len=0 TSval=2706769035 TSecr=2706769032"
"123","0.130178949","127.0.0.1","127.0.0.1","TCP","831","8080  >  51798 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2706769050 TSecr=2706769031"
