"No.","Time","Source","Destination","Protocol","Length","Info"
"265","32.791127422","127.0.0.1","127.0.0.1","TCP","66","37668  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202454 TSecr=2304202454"
"267","32.791154171","127.0.0.1","127.0.0.1","TCP","66","37670  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202454 TSecr=2304202454"
"268","32.791926751","127.0.0.1","127.0.0.1","TCP","415","37670  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202455 TSecr=2304202454"
"269","32.791949659","127.0.0.1","127.0.0.1","TCP","66","8080  >  37670 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202455 TSecr=2304202455"
"272","32.793584775","127.0.0.1","127.0.0.1","TCP","66","37684  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202456 TSecr=2304202456"
"273","32.794098385","127.0.0.1","127.0.0.1","TCP","415","37684  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202457 TSecr=2304202456"
"274","32.794124575","127.0.0.1","127.0.0.1","TCP","66","8080  >  37684 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202457 TSecr=2304202457"
"277","32.796816593","127.0.0.1","127.0.0.1","TCP","66","37694  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202460 TSecr=2304202460"
"280","32.797229633","127.0.0.1","127.0.0.1","TCP","66","37698  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202460 TSecr=2304202460"
"281","32.797389149","127.0.0.1","127.0.0.1","TCP","415","37694  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202460 TSecr=2304202460"
"282","32.797406190","127.0.0.1","127.0.0.1","TCP","66","8080  >  37694 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202460 TSecr=2304202460"
"283","32.797858061","127.0.0.1","127.0.0.1","TCP","415","37698  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202461 TSecr=2304202460"
"284","32.797858061","127.0.0.1","127.0.0.1","TCP","415","37668  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202461 TSecr=2304202454"
"285","32.797882226","127.0.0.1","127.0.0.1","TCP","66","8080  >  37698 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202461 TSecr=2304202461"
"286","32.797882226","127.0.0.1","127.0.0.1","TCP","66","8080  >  37668 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202461 TSecr=2304202461"
"289","32.798139171","127.0.0.1","127.0.0.1","TCP","66","37714  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202461 TSecr=2304202461"
"290","32.798828082","127.0.0.1","127.0.0.1","TCP","415","37714  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202462 TSecr=2304202461"
"291","32.798849663","127.0.0.1","127.0.0.1","TCP","66","8080  >  37714 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202462 TSecr=2304202462"
"292","32.799959365","127.0.0.1","127.0.0.1","TCP","1411","8080  >  37670 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2304202463 TSecr=2304202455"
"293","32.800009092","127.0.0.1","127.0.0.1","TCP","66","37670  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2304202463 TSecr=2304202463"
"296","32.800376106","127.0.0.1","127.0.0.1","TCP","66","37728  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202463 TSecr=2304202463"
"297","32.801763845","127.0.0.1","127.0.0.1","TCP","361","37670  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2304202465 TSecr=2304202463"
"299","32.802090561","127.0.0.1","127.0.0.1","TCP","1411","8080  >  37668 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2304202465 TSecr=2304202461"
"301","32.802120103","127.0.0.1","127.0.0.1","TCP","66","37740  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202465 TSecr=2304202465"
"302","32.802133233","127.0.0.1","127.0.0.1","TCP","66","37668  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2304202465 TSecr=2304202465"
"314","32.803746489","127.0.0.1","127.0.0.1","TCP","66","37742  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202467 TSecr=2304202467"
"320","32.804148563","127.0.0.1","127.0.0.1","TCP","361","37668  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2304202467 TSecr=2304202465"
"321","32.804153312","127.0.0.1","127.0.0.1","TCP","415","37728  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202467 TSecr=2304202463"
"322","32.804171960","127.0.0.1","127.0.0.1","TCP","66","8080  >  37728 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202467 TSecr=2304202467"
"323","32.804293064","127.0.0.1","127.0.0.1","TCP","415","37742  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202467 TSecr=2304202467"
"324","32.804304867","127.0.0.1","127.0.0.1","TCP","66","8080  >  37742 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202467 TSecr=2304202467"
"327","32.804718395","127.0.0.1","127.0.0.1","TCP","1411","8080  >  37684 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2304202468 TSecr=2304202457"
"328","32.804724052","127.0.0.1","127.0.0.1","TCP","66","37756  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202468 TSecr=2304202468"
"329","32.804750801","127.0.0.1","127.0.0.1","TCP","66","37684  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2304202468 TSecr=2304202468"
"330","32.805450537","127.0.0.1","127.0.0.1","TCP","415","37756  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202468 TSecr=2304202468"
"331","32.805474004","127.0.0.1","127.0.0.1","TCP","66","8080  >  37756 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202468 TSecr=2304202468"
"332","32.805852681","127.0.0.1","127.0.0.1","TCP","361","37684  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2304202469 TSecr=2304202468"
"333","32.806811318","127.0.0.1","127.0.0.1","TCP","831","8080  >  37668 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2304202470 TSecr=2304202467"
"338","32.806965876","127.0.0.1","127.0.0.1","TCP","66","37770  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202470 TSecr=2304202470"
"339","32.806967342","127.0.0.1","127.0.0.1","TCP","66","37772  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202470 TSecr=2304202470"
"340","32.807505327","127.0.0.1","127.0.0.1","TCP","415","37772  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202470 TSecr=2304202470"
"341","32.807505327","127.0.0.1","127.0.0.1","TCP","415","37770  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202470 TSecr=2304202470"
"342","32.807525371","127.0.0.1","127.0.0.1","TCP","66","8080  >  37770 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202470 TSecr=2304202470"
"343","32.807525371","127.0.0.1","127.0.0.1","TCP","66","8080  >  37772 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202470 TSecr=2304202470"
"346","32.807882119","127.0.0.1","127.0.0.1","TCP","66","37782  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202471 TSecr=2304202471"
"347","32.808129356","127.0.0.1","127.0.0.1","TCP","119","37668  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2304202471 TSecr=2304202470"
"348","32.808138784","127.0.0.1","127.0.0.1","TCP","415","37740  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202471 TSecr=2304202465"
"349","32.808150657","127.0.0.1","127.0.0.1","TCP","66","8080  >  37740 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202471 TSecr=2304202471"
"350","32.808377291","127.0.0.1","127.0.0.1","TCP","415","37782  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202471 TSecr=2304202471"
"351","32.808394542","127.0.0.1","127.0.0.1","TCP","66","8080  >  37782 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202471 TSecr=2304202471"
"356","32.808984209","127.0.0.1","127.0.0.1","TCP","66","37794  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202472 TSecr=2304202472"
"357","32.808984209","127.0.0.1","127.0.0.1","TCP","66","37796  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202472 TSecr=2304202472"
"358","32.809004672","127.0.0.1","127.0.0.1","TCP","831","8080  >  37670 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2304202472 TSecr=2304202465"
"359","32.809410029","127.0.0.1","127.0.0.1","TCP","415","37794  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202472 TSecr=2304202472"
"360","32.809425184","127.0.0.1","127.0.0.1","TCP","66","8080  >  37794 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202472 TSecr=2304202472"
"361","32.809429514","127.0.0.1","127.0.0.1","TCP","415","37796  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202472 TSecr=2304202472"
"362","32.809444879","127.0.0.1","127.0.0.1","TCP","66","8080  >  37796 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202472 TSecr=2304202472"
"363","32.810669959","127.0.0.1","127.0.0.1","TCP","120","37670  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=54 TSval=2304202474 TSecr=2304202472"
"364","32.810746225","127.0.0.1","127.0.0.1","TCP","1411","8080  >  37694 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2304202474 TSecr=2304202460"
"365","32.810761101","127.0.0.1","127.0.0.1","TCP","66","37694  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2304202474 TSecr=2304202474"
"368","32.810923761","127.0.0.1","127.0.0.1","TCP","66","37804  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202474 TSecr=2304202474"
"371","32.811355238","127.0.0.1","127.0.0.1","TCP","66","37806  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2304202474 TSecr=2304202474"
"372","32.811359079","127.0.0.1","127.0.0.1","TCP","415","37804  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2304202474 TSecr=2304202474"
"373","32.811374165","127.0.0.1","127.0.0.1","TCP","66","8080  >  37804 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2304202474 TSecr=2304202474"
