"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000036527","127.0.0.1","127.0.0.1","TCP","66","41948  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2302629928 TSecr=2302629928"
"4","0.002152848","127.0.0.1","127.0.0.1","TCP","415","41948  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2302629931 TSecr=2302629928"
"5","0.002179947","127.0.0.1","127.0.0.1","TCP","66","8080  >  41948 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2302629931 TSecr=2302629931"
"6","0.004464166","127.0.0.1","127.0.0.1","TCP","1411","8080  >  41948 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2302629933 TSecr=2302629931"
"7","0.004488331","127.0.0.1","127.0.0.1","TCP","66","41948  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2302629933 TSecr=2302629933"
"8","0.005484473","127.0.0.1","127.0.0.1","TCP","361","41948  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2302629934 TSecr=2302629933"
"9","0.009583929","127.0.0.1","127.0.0.1","TCP","831","8080  >  41948 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2302629938 TSecr=2302629934"
"10","0.013530154","127.0.0.1","127.0.0.1","TCP","104","41948  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=38 TSval=2302629942 TSecr=2302629938"
"11","0.054158537","127.0.0.1","127.0.0.1","TCP","66","8080  >  41948 [ACK] Seq=2111 Ack=683 Win=65536 Len=0 TSval=2302629983 TSecr=2302629942"
"64","8.898324740","127.0.0.1","127.0.0.1","TCP","110","41948  >  8080 [PSH, ACK] Seq=683 Ack=2111 Win=77440 Len=44 TSval=2302638827 TSecr=2302629983"
"65","8.898344225","127.0.0.1","127.0.0.1","TCP","66","8080  >  41948 [ACK] Seq=2111 Ack=727 Win=65536 Len=0 TSval=2302638827 TSecr=2302638827"
"73","8.916431293","127.0.0.1","127.0.0.1","TCP","66","59646  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2302638845 TSecr=2302638845"
"74","8.917414933","127.0.0.1","127.0.0.1","TCP","415","59646  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2302638846 TSecr=2302638845"
"75","8.917460609","127.0.0.1","127.0.0.1","TCP","66","8080  >  59646 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2302638846 TSecr=2302638846"
"76","8.918872724","127.0.0.1","127.0.0.1","TCP","1411","8080  >  59646 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2302638847 TSecr=2302638846"
"77","8.918902755","127.0.0.1","127.0.0.1","TCP","66","59646  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2302638847 TSecr=2302638847"
"82","8.918954088","127.0.0.1","127.0.0.1","TCP","66","59662  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2302638847 TSecr=2302638847"
"83","8.918954088","127.0.0.1","127.0.0.1","TCP","66","59664  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2302638847 TSecr=2302638847"
"86","8.919594111","127.0.0.1","127.0.0.1","TCP","66","59676  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2302638848 TSecr=2302638848"
"87","8.919622327","127.0.0.1","127.0.0.1","TCP","415","59664  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2302638848 TSecr=2302638847"
"88","8.919622327","127.0.0.1","127.0.0.1","TCP","415","59662  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2302638848 TSecr=2302638847"
"89","8.919644187","127.0.0.1","127.0.0.1","TCP","66","8080  >  59662 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2302638848 TSecr=2302638848"
"90","8.919648587","127.0.0.1","127.0.0.1","TCP","66","8080  >  59664 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2302638848 TSecr=2302638848"
"91","8.919981589","127.0.0.1","127.0.0.1","TCP","415","59676  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=2302638848 TSecr=2302638848"
"92","8.919992484","127.0.0.1","127.0.0.1","TCP","66","8080  >  59676 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=2302638848 TSecr=2302638848"
"93","8.920087118","127.0.0.1","127.0.0.1","TCP","361","59646  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2302638848 TSecr=2302638847"
"94","8.921499932","127.0.0.1","127.0.0.1","TCP","1411","8080  >  59664 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2302638850 TSecr=2302638848"
"95","8.921520884","127.0.0.1","127.0.0.1","TCP","66","59664  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2302638850 TSecr=2302638850"
"96","8.922137580","127.0.0.1","127.0.0.1","TCP","361","59664  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2302638851 TSecr=2302638850"
"97","8.922820834","127.0.0.1","127.0.0.1","TCP","831","8080  >  59646 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2302638851 TSecr=2302638848"
"98","8.923854760","127.0.0.1","127.0.0.1","TCP","119","59646  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2302638852 TSecr=2302638851"
"99","8.924113591","127.0.0.1","127.0.0.1","TCP","1411","8080  >  59662 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2302638853 TSecr=2302638848"
"100","8.924136079","127.0.0.1","127.0.0.1","TCP","66","59662  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2302638853 TSecr=2302638853"
"101","8.924820591","127.0.0.1","127.0.0.1","TCP","361","59662  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2302638853 TSecr=2302638853"
"102","8.925867158","127.0.0.1","127.0.0.1","TCP","831","8080  >  59664 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2302638854 TSecr=2302638851"
"103","8.926790036","127.0.0.1","127.0.0.1","TCP","119","59664  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2302638855 TSecr=2302638854"
"106","8.926890747","127.0.0.1","127.0.0.1","TCP","66","59678  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2302638855 TSecr=2302638855"
"107","8.927295965","127.0.0.1","127.0.0.1","TCP","1411","8080  >  59676 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=2302638856 TSecr=2302638848"
"108","8.927321177","127.0.0.1","127.0.0.1","TCP","66","59676  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=2302638856 TSecr=2302638856"
"109","8.928012044","127.0.0.1","127.0.0.1","TCP","361","59676  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=2302638856 TSecr=2302638856"
"111","8.928351960","127.0.0.1","127.0.0.1","TCP","1901","59646  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=77440 Len=1835 TSval=2302638857 TSecr=2302638851"
"112","8.928366627","127.0.0.1","127.0.0.1","TCP","66","8080  >  59646 [ACK] Seq=2111 Ack=2533 Win=86272 Len=0 TSval=2302638857 TSecr=2302638852"
"113","8.929000364","127.0.0.1","127.0.0.1","TCP","831","8080  >  59662 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2302638857 TSecr=2302638853"
"114","8.930017947","127.0.0.1","127.0.0.1","TCP","119","59662  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=77440 Len=53 TSval=2302638858 TSecr=2302638857"
"116","8.930195063","127.0.0.1","127.0.0.1","TCP","831","8080  >  59676 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=2302638859 TSecr=2302638856"
