"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","90","8080  >  49038 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=24 TSval=95712268 TSecr=95692265","8080","49038"
"2","0.001364551","127.0.0.1","127.0.0.1","TCP","94","49038  >  8080 [PSH, ACK] Seq=1 Ack=25 Win=605 Len=28 TSval=95712270 TSecr=95712268","49038","8080"
"3","0.001410856","127.0.0.1","127.0.0.1","TCP","66","8080  >  49038 [ACK] Seq=25 Ack=29 Win=512 Len=0 TSval=95712270 TSecr=95712270","8080","49038"
"222","5.292007288","127.0.0.1","127.0.0.1","TCP","110","49038  >  8080 [PSH, ACK] Seq=29 Ack=25 Win=605 Len=44 TSval=95717560 TSecr=95712270","49038","8080"
"223","5.292033059","127.0.0.1","127.0.0.1","TCP","66","8080  >  49038 [ACK] Seq=25 Ack=73 Win=512 Len=0 TSval=95717560 TSecr=95717560","8080","49038"
"244","5.311519931","127.0.0.1","127.0.0.1","TCP","74","36602  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=95717580 TSecr=0 WS=128","36602","8080"
"245","5.311548007","127.0.0.1","127.0.0.1","TCP","74","8080  >  36602 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=95717580 TSecr=95717580 WS=128","8080","36602"
"246","5.311567911","127.0.0.1","127.0.0.1","TCP","66","36602  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=95717580 TSecr=95717580","36602","8080"
"247","5.312167146","127.0.0.1","127.0.0.1","TCP","415","36602  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=95717580 TSecr=95717580","36602","8080"
"248","5.312186073","127.0.0.1","127.0.0.1","TCP","66","8080  >  36602 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=95717580 TSecr=95717580","8080","36602"
"249","5.314490614","127.0.0.1","127.0.0.1","TCP","1411","8080  >  36602 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=95717583 TSecr=95717580","8080","36602"
"250","5.314522322","127.0.0.1","127.0.0.1","TCP","66","36602  >  8080 [ACK] Seq=350 Ack=1346 Win=77056 Len=0 TSval=95717583 TSecr=95717583","36602","8080"
"251","5.315448971","127.0.0.1","127.0.0.1","TCP","361","36602  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=77056 Len=295 TSval=95717584 TSecr=95717583","36602","8080"
"252","5.316864297","127.0.0.1","127.0.0.1","TCP","74","36612  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=95717585 TSecr=0 WS=128","36612","8080"
"253","5.316890697","127.0.0.1","127.0.0.1","TCP","74","8080  >  36612 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=95717585 TSecr=95717585 WS=128","8080","36612"
"254","5.316911789","127.0.0.1","127.0.0.1","TCP","66","36612  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=95717585 TSecr=95717585","36612","8080"
