"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"269","34.315999027","127.0.0.1","127.0.0.1","TCP","74","47746  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788673 TSecr=0 WS=128","47746","8080"
"270","34.316044075","127.0.0.1","127.0.0.1","TCP","74","8080  >  47746 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788673 TSecr=514788673 WS=128","8080","47746"
"271","34.316073198","127.0.0.1","127.0.0.1","TCP","66","47746  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788673 TSecr=514788673","47746","8080"
"275","34.319121491","127.0.0.1","127.0.0.1","TCP","415","47746  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788676 TSecr=514788673","47746","8080"
"276","34.319185884","127.0.0.1","127.0.0.1","TCP","66","8080  >  47746 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788676 TSecr=514788676","8080","47746"
"277","34.322104971","127.0.0.1","127.0.0.1","TCP","1411","8080  >  47746 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=514788679 TSecr=514788676","8080","47746"
"278","34.322148342","127.0.0.1","127.0.0.1","TCP","66","47746  >  8080 [ACK] Seq=350 Ack=1346 Win=75008 Len=0 TSval=514788679 TSecr=514788679","47746","8080"
"279","34.324880952","127.0.0.1","127.0.0.1","TCP","361","47746  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=75008 Len=295 TSval=514788682 TSecr=514788679","47746","8080"
"280","34.328338305","127.0.0.1","127.0.0.1","TCP","831","8080  >  47746 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=514788685 TSecr=514788682","8080","47746"
"281","34.332653378","127.0.0.1","127.0.0.1","TCP","74","47750  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788689 TSecr=0 WS=128","47750","8080"
"282","34.332707366","127.0.0.1","127.0.0.1","TCP","74","8080  >  47750 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788690 TSecr=514788689 WS=128","8080","47750"
"283","34.332747804","127.0.0.1","127.0.0.1","TCP","66","47750  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788690 TSecr=514788690","47750","8080"
"284","34.335114096","127.0.0.1","127.0.0.1","TCP","415","47750  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788692 TSecr=514788690","47750","8080"
"285","34.335188617","127.0.0.1","127.0.0.1","TCP","66","8080  >  47750 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788692 TSecr=514788692","8080","47750"
"286","34.336754388","127.0.0.1","127.0.0.1","TCP","119","47746  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=75008 Len=53 TSval=514788694 TSecr=514788685","47746","8080"
"287","34.337887074","127.0.0.1","127.0.0.1","TCP","1411","8080  >  47750 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=514788695 TSecr=514788692","8080","47750"
"288","34.340171792","127.0.0.1","127.0.0.1","TCP","66","47750  >  8080 [ACK] Seq=350 Ack=1346 Win=73088 Len=0 TSval=514788697 TSecr=514788695","47750","8080"
"289","34.342555335","127.0.0.1","127.0.0.1","TCP","361","47750  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=73088 Len=295 TSval=514788699 TSecr=514788695","47750","8080"
"290","34.345462897","127.0.0.1","127.0.0.1","TCP","831","8080  >  47750 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=514788702 TSecr=514788699","8080","47750"
"291","34.346024282","127.0.0.1","127.0.0.1","TCP","74","47766  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788703 TSecr=0 WS=128","47766","8080"
"292","34.346066815","127.0.0.1","127.0.0.1","TCP","74","8080  >  47766 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788703 TSecr=514788703 WS=128","8080","47766"
"293","34.346109139","127.0.0.1","127.0.0.1","TCP","66","47766  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788703 TSecr=514788703","47766","8080"
"294","34.347363348","127.0.0.1","127.0.0.1","TCP","415","47766  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788704 TSecr=514788703","47766","8080"
"295","34.347416707","127.0.0.1","127.0.0.1","TCP","66","8080  >  47766 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788704 TSecr=514788704","8080","47766"
"296","34.354173222","127.0.0.1","127.0.0.1","TCP","1411","8080  >  47766 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=514788711 TSecr=514788704","8080","47766"
"297","34.354226162","127.0.0.1","127.0.0.1","TCP","66","47766  >  8080 [ACK] Seq=350 Ack=1346 Win=75008 Len=0 TSval=514788711 TSecr=514788711","47766","8080"
"300","34.355487984","127.0.0.1","127.0.0.1","TCP","119","47750  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=74368 Len=53 TSval=514788712 TSecr=514788702","47750","8080"
"301","34.355553286","127.0.0.1","127.0.0.1","TCP","1903","47746  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=75008 Len=1837 TSval=514788712 TSecr=514788685","47746","8080"
"302","34.355573470","127.0.0.1","127.0.0.1","TCP","66","8080  >  47746 [ACK] Seq=2111 Ack=2535 Win=84224 Len=0 TSval=514788712 TSecr=514788694","8080","47746"
"303","34.358993807","127.0.0.1","127.0.0.1","TCP","361","47766  >  8080 [PSH, ACK] Seq=350 Ack=1346 Win=75008 Len=295 TSval=514788716 TSecr=514788711","47766","8080"
"306","34.365909281","127.0.0.1","127.0.0.1","TCP","1904","47750  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=74368 Len=1838 TSval=514788723 TSecr=514788702","47750","8080"
"307","34.365944621","127.0.0.1","127.0.0.1","TCP","66","8080  >  47750 [ACK] Seq=2111 Ack=2536 Win=84224 Len=0 TSval=514788723 TSecr=514788712","8080","47750"
"308","34.372916526","127.0.0.1","127.0.0.1","TCP","74","47782  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788730 TSecr=0 WS=128","47782","8080"
"309","34.372966393","127.0.0.1","127.0.0.1","TCP","74","8080  >  47782 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788730 TSecr=514788730 WS=128","8080","47782"
"310","34.373004037","127.0.0.1","127.0.0.1","TCP","66","47782  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788730 TSecr=514788730","47782","8080"
"311","34.374921530","127.0.0.1","127.0.0.1","TCP","415","47782  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788732 TSecr=514788730","47782","8080"
"312","34.374957288","127.0.0.1","127.0.0.1","TCP","66","8080  >  47782 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788732 TSecr=514788732","8080","47782"
"313","34.375190209","127.0.0.1","127.0.0.1","TCP","74","47796  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788732 TSecr=0 WS=128","47796","8080"
"314","34.375223663","127.0.0.1","127.0.0.1","TCP","74","8080  >  47796 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788732 TSecr=514788732 WS=128","8080","47796"
"315","34.375246920","127.0.0.1","127.0.0.1","TCP","66","47796  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788732 TSecr=514788732","47796","8080"
"316","34.382197734","127.0.0.1","127.0.0.1","TCP","415","47796  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788739 TSecr=514788732","47796","8080"
"317","34.382230140","127.0.0.1","127.0.0.1","TCP","66","8080  >  47796 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788739 TSecr=514788739","8080","47796"
"318","34.389442789","127.0.0.1","127.0.0.1","TCP","74","47802  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788746 TSecr=0 WS=128","47802","8080"
"319","34.389442789","127.0.0.1","127.0.0.1","TCP","831","8080  >  47766 [PSH, ACK] Seq=1346 Ack=645 Win=65536 Len=765 TSval=514788746 TSecr=514788716","8080","47766"
"320","34.389481271","127.0.0.1","127.0.0.1","TCP","74","8080  >  47802 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788746 TSecr=514788746 WS=128","8080","47802"
"321","34.389506693","127.0.0.1","127.0.0.1","TCP","66","47802  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788746 TSecr=514788746","47802","8080"
"322","34.390407017","127.0.0.1","127.0.0.1","TCP","74","47810  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788747 TSecr=0 WS=128","47810","8080"
"323","34.390407017","127.0.0.1","127.0.0.1","TCP","74","47812  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=514788747 TSecr=0 WS=128","47812","8080"
"324","34.390435093","127.0.0.1","127.0.0.1","TCP","74","8080  >  47812 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788747 TSecr=514788747 WS=128","8080","47812"
"325","34.390435093","127.0.0.1","127.0.0.1","TCP","74","8080  >  47810 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=514788747 TSecr=514788747 WS=128","8080","47810"
"326","34.390459328","127.0.0.1","127.0.0.1","TCP","66","47812  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788747 TSecr=514788747","47812","8080"
"327","34.390459328","127.0.0.1","127.0.0.1","TCP","66","47810  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=514788747 TSecr=514788747","47810","8080"
"328","34.391095163","127.0.0.1","127.0.0.1","TCP","415","47810  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788748 TSecr=514788747","47810","8080"
"329","34.391095163","127.0.0.1","127.0.0.1","TCP","415","47812  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788748 TSecr=514788747","47812","8080"
"330","34.391118351","127.0.0.1","127.0.0.1","TCP","66","8080  >  47810 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788748 TSecr=514788748","8080","47810"
"331","34.391118351","127.0.0.1","127.0.0.1","TCP","66","8080  >  47812 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788748 TSecr=514788748","8080","47812"
"332","34.392152071","127.0.0.1","127.0.0.1","TCP","415","47802  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=349 TSval=514788749 TSecr=514788746","47802","8080"
"333","34.392188249","127.0.0.1","127.0.0.1","TCP","66","8080  >  47802 [ACK] Seq=1 Ack=350 Win=65152 Len=0 TSval=514788749 TSecr=514788749","8080","47802"
"334","34.394396631","127.0.0.1","127.0.0.1","TCP","119","47766  >  8080 [PSH, ACK] Seq=645 Ack=2111 Win=75392 Len=53 TSval=514788751 TSecr=514788746","47766","8080"
"335","34.400257082","127.0.0.1","127.0.0.1","TCP","1411","8080  >  47782 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=514788757 TSecr=514788732","8080","47782"
"336","34.400322384","127.0.0.1","127.0.0.1","TCP","66","47782  >  8080 [ACK] Seq=350 Ack=1346 Win=75008 Len=0 TSval=514788757 TSecr=514788757","47782","8080"
"339","34.402423000","127.0.0.1","127.0.0.1","TCP","1899","47766  >  8080 [PSH, ACK] Seq=698 Ack=2111 Win=75392 Len=1833 TSval=514788759 TSecr=514788746","47766","8080"
"340","34.402442835","127.0.0.1","127.0.0.1","TCP","66","8080  >  47766 [ACK] Seq=2111 Ack=2531 Win=84224 Len=0 TSval=514788759 TSecr=514788751","8080","47766"
"341","34.403556524","127.0.0.1","127.0.0.1","TCP","1411","8080  >  47796 [PSH, ACK] Seq=1 Ack=350 Win=65536 Len=1345 TSval=514788760 TSecr=514788739","8080","47796"
