"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"50","0.831039699","127.0.0.1","127.0.0.1","TCP","66","34946  >  4444 [ACK] Seq=1 Ack=1 Win=614 Len=0 TSval=2999680014 TSecr=2999669972","34946","4444"
"51","0.831065471","127.0.0.1","127.0.0.1","TCP","66","34940  >  4444 [ACK] Seq=1 Ack=1 Win=614 Len=0 TSval=2999680014 TSecr=2999669968","34940","4444"
"52","0.831082232","127.0.0.1","127.0.0.1","TCP","66","[TCP ACKed unseen segment] 4444  >  34946 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=2999680014 TSecr=2999669972","4444","34946"
"53","0.831093058","127.0.0.1","127.0.0.1","TCP","66","[TCP ACKed unseen segment] 4444  >  34940 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=2999680014 TSecr=2999669968","4444","34940"
"60","0.955744585","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52312","4444"
"61","0.956085480","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52422","4444"
"62","0.956444674","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52440","4444"
"64","0.956728090","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52720","4444"
"67","0.957033226","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52502","4444"
"70","0.957356871","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","35210","4444"
"71","0.957387252","127.0.0.1","127.0.0.1","TCP","66","4444  >  35210 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=2999680140 TSecr=2999680140","4444","35210"
"77","0.957781226","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52760","4444"
"85","0.958206490","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52486","4444"
"89","0.958607728","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","35116","4444"
"93","0.959060719","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52594","4444"
"99","0.959451271","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52304","4444"
"106","0.959833093","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","34984","4444"
"107","0.959859773","127.0.0.1","127.0.0.1","TCP","66","4444  >  34984 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=2999680142 TSecr=2999680142","4444","34984"
"113","0.960267576","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52324","4444"
"124","0.960728249","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52466","4444"
"129","0.961268960","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52302","4444"
"141","0.961757570","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","35124","4444"
"142","0.961786205","127.0.0.1","127.0.0.1","TCP","66","4444  >  35124 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=2999680144 TSecr=2999680144","4444","35124"
"156","0.962315601","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52590","4444"
"166","0.962787379","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","35014","4444"
"167","0.962815456","127.0.0.1","127.0.0.1","TCP","66","4444  >  35014 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=2999680145 TSecr=2999680145","4444","35014"
"175","0.963425449","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","35180","4444"
"188","0.964012395","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","35270","4444"
"189","0.964041449","127.0.0.1","127.0.0.1","TCP","66","4444  >  35270 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=2999680147 TSecr=2999680147","4444","35270"
"193","0.964624065","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","34952","4444"
"195","0.964653748","127.0.0.1","127.0.0.1","TCP","66","4444  >  34952 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=2999680147 TSecr=2999680147","4444","34952"
"206","0.965178395","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52700","4444"
"229","0.965711145","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52730","4444"
"242","0.966117621","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52408","4444"
"266","0.967105107","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52348","4444"
"279","0.967589386","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52520","4444"
"289","0.968173120","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52628","4444"
"290","0.968190440","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","35210"
"291","0.968224802","127.0.0.1","127.0.0.1","TCP","66","35210  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2999680151 TSecr=2999680151","35210","4444"
"299","0.968664732","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","52540","4444"
"309","0.969129666","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","35172","4444"
"310","0.969154879","127.0.0.1","127.0.0.1","TCP","66","4444  >  35172 [ACK] Seq=1 Ack=206 Win=511 Len=0 TSval=2999680152 TSecr=2999680152","4444","35172"
"334","0.970194606","::1","::1","TCP","94","40622  >  4444 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=3599751176 TSecr=0 WS=128","40622","4444"
"335","0.970217164","::1","::1","TCP","74","4444  >  40622 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","4444","40622"
"338","0.970469501","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","52312"
"339","0.970512803","127.0.0.1","127.0.0.1","TCP","66","52312  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2999680153 TSecr=2999680153","52312","4444"
"353","0.971026345","127.0.0.1","127.0.0.1","TLSv1.2","401","Application Data","51038","4444"
"355","0.971044155","127.0.0.1","127.0.0.1","TCP","66","4444  >  51038 [ACK] Seq=1 Ack=336 Win=907 Len=0 TSval=2999680154 TSecr=2999680154","4444","51038"
"419","0.973575482","::1","::1","TCP","94","40636  >  4444 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=3599751179 TSecr=0 WS=128","40636","4444"
"421","0.973593501","::1","::1","TCP","74","4444  >  40636 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","4444","40636"
"453","0.974141406","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","52422"
"456","0.974171438","127.0.0.1","127.0.0.1","TCP","66","52422  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2999680157 TSecr=2999680157","52422","4444"
"474","0.974735895","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","34984"
"475","0.974735895","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","52760"
"476","0.974757406","127.0.0.1","127.0.0.1","TCP","66","34984  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2999680157 TSecr=2999680157","34984","4444"
"477","0.974757406","127.0.0.1","127.0.0.1","TCP","66","52760  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2999680157 TSecr=2999680157","52760","4444"
"502","0.975625044","127.0.0.1","127.0.0.1","TLSv1.2","401","Application Data","51184","4444"
"504","0.975643971","127.0.0.1","127.0.0.1","TCP","66","4444  >  51184 [ACK] Seq=1 Ack=336 Win=995 Len=0 TSval=2999680158 TSecr=2999680158","4444","51184"
"517","0.976418581","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","52720"
"519","0.976448124","127.0.0.1","127.0.0.1","TCP","66","52720  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2999680159 TSecr=2999680159","52720","4444"
"520","0.976461533","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","52502"
"522","0.976484930","127.0.0.1","127.0.0.1","TCP","66","52502  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2999680159 TSecr=2999680159","52502","4444"
"543","0.977312270","::1","::1","TCP","94","40650  >  4444 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=3599751183 TSecr=0 WS=128","40650","4444"
"544","0.977335178","::1","::1","TCP","74","4444  >  40650 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","4444","40650"
"545","0.977518441","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","35116"
