"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"150","2.495294722","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60046","4444"
"151","2.495544612","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42996","4444"
"152","2.495785144","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42872","4444"
"211","2.504150943","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42872"
"212","2.504169870","127.0.0.1","127.0.0.1","TCP","66","42872  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449042814 TSecr=449042814","42872","4444"
"216","2.504590032","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42996"
"217","2.504605886","127.0.0.1","127.0.0.1","TCP","66","42996  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449042814 TSecr=449042814","42996","4444"
"221","2.505195900","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60046"
"222","2.505221182","127.0.0.1","127.0.0.1","TCP","66","60046  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449042815 TSecr=449042815","60046","4444"
"239","2.596253171","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60438","4444"
"240","2.596439855","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60186","4444"
"241","2.596949832","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42874","4444"
"302","2.605495122","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42874"
"303","2.605524176","127.0.0.1","127.0.0.1","TCP","66","42874  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449042915 TSecr=449042915","42874","4444"
"307","2.606076476","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60438"
"308","2.606095403","127.0.0.1","127.0.0.1","TCP","66","60438  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449042916 TSecr=449042916","60438","4444"
"309","2.606163707","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60186"
"310","2.606185637","127.0.0.1","127.0.0.1","TCP","66","60186  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449042916 TSecr=449042916","60186","4444"
"330","2.696250821","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42872","4444"
"331","2.696443092","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60052","4444"
"333","2.697413948","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60422","4444"
"335","2.697589108","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42954","4444"
"409","2.705343453","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60052"
"410","2.705368735","127.0.0.1","127.0.0.1","TCP","66","60052  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043015 TSecr=449043015","60052","4444"
"411","2.705384798","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42872"
"412","2.705394716","127.0.0.1","127.0.0.1","TCP","66","42872  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449043015 TSecr=449043015","42872","4444"
"416","2.705485509","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42954"
"417","2.705500943","127.0.0.1","127.0.0.1","TCP","66","42954  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043015 TSecr=449043015","42954","4444"
"418","2.705581889","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60422"
"420","2.705591527","127.0.0.1","127.0.0.1","TCP","66","60422  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043015 TSecr=449043015","60422","4444"
"444","2.797949441","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60014","4444"
"445","2.798373304","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60294","4444"
"447","2.798440980","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","43060","4444"
"504","2.803940028","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","43060"
"506","2.803954695","127.0.0.1","127.0.0.1","TCP","66","43060  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043114 TSecr=449043114","43060","4444"
"509","2.804275752","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60014"
"510","2.804292863","127.0.0.1","127.0.0.1","TCP","66","60014  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043114 TSecr=449043114","60014","4444"
"514","2.805197231","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60294"
"515","2.805216437","127.0.0.1","127.0.0.1","TCP","66","60294  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043115 TSecr=449043115","60294","4444"
"533","2.900407300","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60126","4444"
"534","2.900601736","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60078","4444"
"535","2.900758948","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60282","4444"
"540","2.901758368","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60042","4444"
"544","2.901936253","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59938","4444"
"594","2.905848799","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60240","4444"
"616","2.906979101","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60052","4444"
"643","2.908235466","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60282"
"644","2.908254602","127.0.0.1","127.0.0.1","TCP","66","60282  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043218 TSecr=449043218","60282","4444"
"655","2.909092062","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60126"
"656","2.909096322","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60078"
"657","2.909113154","127.0.0.1","127.0.0.1","TCP","66","60126  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043219 TSecr=449043219","60126","4444"
"658","2.909116436","127.0.0.1","127.0.0.1","TCP","66","60078  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043219 TSecr=449043219","60078","4444"
"661","2.909273438","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60042"
"663","2.909291876","127.0.0.1","127.0.0.1","TCP","66","60042  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043219 TSecr=449043219","60042","4444"
"668","2.909459634","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60224","4444"
"674","2.909761974","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59938"
"675","2.909780482","127.0.0.1","127.0.0.1","TCP","66","59938  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043219 TSecr=449043219","59938","4444"
"701","2.911737000","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60240"
"702","2.911752644","127.0.0.1","127.0.0.1","TCP","66","60240  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449043221 TSecr=449043221","60240","4444"
