"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"24","0.349993784","127.0.0.1","127.0.0.1","TCP","66","42920  >  4444 [ACK] Seq=1 Ack=1 Win=614 Len=0 TSval=2700025859 TSecr=2700015619","42920","4444"
"25","0.350033314","127.0.0.1","127.0.0.1","TCP","66","[TCP ACKed unseen segment] 4444  >  42920 [ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=2700025859 TSecr=2699995115","4444","42920"
"105","1.712095671","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42862","4444"
"106","1.712372731","127.0.0.1","127.0.0.1","TLSv1.2","271","[TCP Previous segment not captured] , Application Data","42920","4444"
"107","1.712622344","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42894","4444"
"169","1.719484320","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","42920"
"170","1.719515329","127.0.0.1","127.0.0.1","TCP","66","42920  >  4444 [ACK] Seq=207 Ack=142 Win=615 Len=0 TSval=2700027228 TSecr=2700027228","42920","4444"
"173","1.720251177","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","42862"
"174","1.720253621","127.0.0.1","127.0.0.1","TLSv1.2","207","Application Data","4444","42894"
"175","1.720281488","127.0.0.1","127.0.0.1","TCP","66","42862  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2700027229 TSecr=2700027229","42862","4444"
"176","1.720282955","127.0.0.1","127.0.0.1","TCP","66","42894  >  4444 [ACK] Seq=206 Ack=142 Win=615 Len=0 TSval=2700027229 TSecr=2700027229","42894","4444"
"181","1.721058612","::1","::1","TCP","94","49282  >  4444 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=373966319 TSecr=0 WS=128","49282","4444"
"182","1.721078377","::1","::1","TCP","74","4444  >  49282 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","4444","49282"
"183","1.721790967","::1","::1","TCP","94","49294  >  4444 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=373966319 TSecr=0 WS=128","49294","4444"
"184","1.721808498","::1","::1","TCP","74","4444  >  49294 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","4444","49294"
"185","1.722424987","::1","::1","TCP","94","49304  >  4444 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=373966320 TSecr=0 WS=128","49304","4444"
"186","1.722440282","::1","::1","TCP","74","4444  >  49304 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","4444","49304"
"187","1.722965698","127.0.0.1","127.0.0.1","TLSv1.2","401","Application Data","42918","4444"
"188","1.723329711","127.0.0.1","127.0.0.1","TLSv1.2","401","Application Data","49422","4444"
"189","1.723354574","127.0.0.1","127.0.0.1","TCP","66","4444  >  49422 [ACK] Seq=1 Ack=336 Win=6673 Len=0 TSval=2700027232 TSecr=2700027232","4444","49422"
"190","1.723698682","127.0.0.1","127.0.0.1","TLSv1.2","401","Application Data","49448","4444"
"437","1.762201411","127.0.0.1","127.0.0.1","TLSv1.2","2397","Application Data","4444","42918"
"438","1.762235493","127.0.0.1","127.0.0.1","TCP","66","42918  >  4444 [ACK] Seq=336 Ack=2332 Win=706 Len=0 TSval=2700027271 TSecr=2700027271","42918","4444"
"441","1.764559462","127.0.0.1","127.0.0.1","TLSv1.2","2397","Application Data","4444","49422"
"442","1.764587538","127.0.0.1","127.0.0.1","TCP","66","49422  >  4444 [ACK] Seq=336 Ack=2332 Win=706 Len=0 TSval=2700027273 TSecr=2700027273","49422","4444"
"444","1.764909017","127.0.0.1","127.0.0.1","TCP","66","4444  >  49448 [ACK] Seq=1 Ack=336 Win=7696 Len=0 TSval=2700027274 TSecr=2700027232","4444","49448"
"446","1.767573881","127.0.0.1","127.0.0.1","TLSv1.2","2396","Application Data","4444","49448"
"447","1.767609221","127.0.0.1","127.0.0.1","TCP","66","49448  >  4444 [ACK] Seq=336 Ack=2331 Win=706 Len=0 TSval=2700027276 TSecr=2700027276","49448","4444"
"466","1.862306941","127.0.0.1","127.0.0.1","TLSv1.2","2841","Application Data","42920","4444"
"470","1.863485862","127.0.0.1","127.0.0.1","TLSv1.2","2840","Application Data","42894","4444"
"473","1.864229322","127.0.0.1","127.0.0.1","TLSv1.2","2840","Application Data","42862","4444"
"644","1.879608651","127.0.0.1","127.0.0.1","TLSv1.2","2193","Application Data","4444","42878"
"646","1.879627648","127.0.0.1","127.0.0.1","TCP","66","42878  >  4444 [ACK] Seq=1 Ack=2128 Win=688 Len=0 TSval=2700027388 TSecr=2700027388","42878","4444"
"652","1.880285902","127.0.0.1","127.0.0.1","TLSv1.2","2193","Application Data","4444","42934"
"653","1.880300219","127.0.0.1","127.0.0.1","TCP","66","42934  >  4444 [ACK] Seq=1 Ack=2128 Win=688 Len=0 TSval=2700027389 TSecr=2700027389","42934","4444"
"661","1.881312988","127.0.0.1","127.0.0.1","TLSv1.2","2194","Application Data","4444","42836"
"663","1.881340924","127.0.0.1","127.0.0.1","TCP","66","42836  >  4444 [ACK] Seq=1 Ack=2129 Win=688 Len=0 TSval=2700027390 TSecr=2700027390","42836","4444"
