"No.","Time","Source","Destination","Protocol","Length","Info"
"564","9.458770458","127.0.0.1","127.0.0.1","TCP","66","45870  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061811853 TSecr=2061811853"
"566","9.459831766","127.0.0.1","127.0.0.1","TCP","66","4444  >  45870 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061811855 TSecr=2061811854"
"568","9.463452128","127.0.0.1","127.0.0.1","TCP","66","45870  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061811858 TSecr=2061811858"
"593","9.505822806","127.0.0.1","127.0.0.1","TCP","66","4444  >  45870 [ACK] Seq=1836 Ack=763 Win=65536 Len=0 TSval=2061811901 TSecr=2061811860"
"650","9.564814661","127.0.0.1","127.0.0.1","TCP","66","45882  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061811959 TSecr=2061811959"
"652","9.566621455","127.0.0.1","127.0.0.1","TCP","66","4444  >  45882 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061811961 TSecr=2061811961"
"654","9.568948008","127.0.0.1","127.0.0.1","TCP","66","45882  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061811964 TSecr=2061811964"
"699","9.585474410","127.0.0.1","127.0.0.1","TCP","66","45896  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061811980 TSecr=2061811980"
"701","9.586473979","127.0.0.1","127.0.0.1","TCP","66","4444  >  45896 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061811981 TSecr=2061811981"
"703","9.590335293","127.0.0.1","127.0.0.1","TCP","66","45896  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061811985 TSecr=2061811985"
"707","9.592852443","127.0.0.1","127.0.0.1","TCP","66","45870  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061811988 TSecr=2061811947"
"749","9.607833048","127.0.0.1","127.0.0.1","TCP","66","45904  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812003 TSecr=2061812002"
"751","9.608946248","127.0.0.1","127.0.0.1","TCP","66","4444  >  45904 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812004 TSecr=2061812004"
"753","9.612178502","127.0.0.1","127.0.0.1","TCP","66","45904  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812007 TSecr=2061812007"
"760","9.616833144","127.0.0.1","127.0.0.1","TCP","66","45882  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812012 TSecr=2061811971"
"799","9.631351749","127.0.0.1","127.0.0.1","TCP","66","45920  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812026 TSecr=2061812026"
"801","9.632260175","127.0.0.1","127.0.0.1","TCP","66","4444  >  45920 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812027 TSecr=2061812027"
"803","9.635620169","127.0.0.1","127.0.0.1","TCP","66","45920  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812030 TSecr=2061812030"
"805","9.637858163","127.0.0.1","127.0.0.1","TCP","66","45896  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812033 TSecr=2061811992"
"849","9.653193841","127.0.0.1","127.0.0.1","TCP","66","45936  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812048 TSecr=2061812048"
"851","9.654152901","127.0.0.1","127.0.0.1","TCP","66","4444  >  45936 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812049 TSecr=2061812049"
"853","9.657419797","127.0.0.1","127.0.0.1","TCP","66","45936  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812052 TSecr=2061812052"
"870","9.662845766","127.0.0.1","127.0.0.1","TCP","66","45904  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812058 TSecr=2061812016"
"903","9.676362498","127.0.0.1","127.0.0.1","TCP","66","45944  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812071 TSecr=2061812071"
"905","9.677189000","127.0.0.1","127.0.0.1","TCP","66","4444  >  45944 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812072 TSecr=2061812072"
"907","9.680265019","127.0.0.1","127.0.0.1","TCP","66","45944  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812075 TSecr=2061812075"
"911","9.682840975","127.0.0.1","127.0.0.1","TCP","66","45920  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812078 TSecr=2061812037"
"953","9.695707694","127.0.0.1","127.0.0.1","TCP","66","45948  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812090 TSecr=2061812090"
"955","9.696591466","127.0.0.1","127.0.0.1","TCP","66","4444  >  45948 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812091 TSecr=2061812091"
"957","9.699291250","127.0.0.1","127.0.0.1","TCP","66","45948  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812094 TSecr=2061812094"
"977","9.705837264","127.0.0.1","127.0.0.1","TCP","66","45936  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812101 TSecr=2061812060"
"1003","9.715678458","127.0.0.1","127.0.0.1","TCP","66","45958  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812110 TSecr=2061812110"
"1005","9.716662592","127.0.0.1","127.0.0.1","TCP","66","4444  >  45958 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812111 TSecr=2061812111"
"1007","9.722788720","127.0.0.1","127.0.0.1","TCP","66","45958  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812117 TSecr=2061812117"
"1019","9.727828746","127.0.0.1","127.0.0.1","TCP","66","45944  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812123 TSecr=2061812082"
"1053","9.740449065","127.0.0.1","127.0.0.1","TCP","66","45960  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812135 TSecr=2061812135"
"1055","9.741314747","127.0.0.1","127.0.0.1","TCP","66","4444  >  45960 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812136 TSecr=2061812136"
"1057","9.745010049","127.0.0.1","127.0.0.1","TCP","66","45960  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812140 TSecr=2061812140"
"1059","9.746842475","127.0.0.1","127.0.0.1","TCP","66","45948  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812142 TSecr=2061812101"
"1103","9.760880572","127.0.0.1","127.0.0.1","TCP","66","45962  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812156 TSecr=2061812156"
"1105","9.762007601","127.0.0.1","127.0.0.1","TCP","66","4444  >  45962 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812157 TSecr=2061812157"
"1107","9.764606325","127.0.0.1","127.0.0.1","TCP","66","45962  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812159 TSecr=2061812159"
"1134","9.771833151","127.0.0.1","127.0.0.1","TCP","66","45958  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812167 TSecr=2061812125"
"1157","9.781309146","127.0.0.1","127.0.0.1","TCP","66","45968  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812176 TSecr=2061812176"
"1159","9.782483876","127.0.0.1","127.0.0.1","TCP","66","4444  >  45968 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812177 TSecr=2061812177"
"1161","9.785171369","127.0.0.1","127.0.0.1","TCP","66","45968  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=2061812180 TSecr=2061812180"
"1184","9.792824856","127.0.0.1","127.0.0.1","TCP","66","45960  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=2061812188 TSecr=2061812146"
"1207","9.802424260","127.0.0.1","127.0.0.1","TCP","66","45978  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2061812197 TSecr=2061812197"
"1209","9.803762209","127.0.0.1","127.0.0.1","TCP","66","4444  >  45978 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=2061812198 TSecr=2061812198"
