"No.","Time","Source","Destination","Protocol","Length","Info"
"119","1.932929129","127.0.0.1","127.0.0.1","TCP","66","43006  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682289 TSecr=440682289"
"121","1.934313389","127.0.0.1","127.0.0.1","TCP","66","4444  >  43006 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682290 TSecr=440682290"
"123","1.937497045","127.0.0.1","127.0.0.1","TCP","66","43006  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682294 TSecr=440682294"
"147","1.980490313","127.0.0.1","127.0.0.1","TCP","66","4444  >  43006 [ACK] Seq=1836 Ack=763 Win=65536 Len=0 TSval=440682337 TSecr=440682296"
"203","2.088042868","127.0.0.1","127.0.0.1","TCP","66","43022  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682444 TSecr=440682444"
"205","2.089878863","127.0.0.1","127.0.0.1","TCP","66","4444  >  43022 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682446 TSecr=440682446"
"207","2.096871119","127.0.0.1","127.0.0.1","TCP","66","43022  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682453 TSecr=440682453"
"236","2.112476304","127.0.0.1","127.0.0.1","TCP","66","43006  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=440682469 TSecr=440682428"
"249","2.152574639","127.0.0.1","127.0.0.1","TCP","66","43022  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=440682509 TSecr=440682466"
"297","2.584996535","127.0.0.1","127.0.0.1","TCP","66","43032  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682941 TSecr=440682941"
"300","2.585152072","127.0.0.1","127.0.0.1","TCP","66","43042  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682941 TSecr=440682941"
"303","2.590601318","127.0.0.1","127.0.0.1","TCP","66","43054  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682947 TSecr=440682947"
"306","2.594706535","127.0.0.1","127.0.0.1","TCP","66","43068  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682951 TSecr=440682951"
"309","2.594934847","127.0.0.1","127.0.0.1","TCP","66","43072  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682951 TSecr=440682951"
"314","2.597757283","127.0.0.1","127.0.0.1","TCP","66","43088  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682954 TSecr=440682954"
"316","2.599733729","127.0.0.1","127.0.0.1","TCP","66","4444  >  43032 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682956 TSecr=440682956"
"318","2.600778279","127.0.0.1","127.0.0.1","TCP","66","4444  >  43042 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682957 TSecr=440682957"
"320","2.604238229","127.0.0.1","127.0.0.1","TCP","66","43032  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682960 TSecr=440682960"
"322","2.605059216","127.0.0.1","127.0.0.1","TCP","66","4444  >  43054 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682961 TSecr=440682961"
"332","2.608532297","127.0.0.1","127.0.0.1","TCP","66","43042  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682965 TSecr=440682965"
"334","2.612086114","127.0.0.1","127.0.0.1","TCP","66","4444  >  43068 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682968 TSecr=440682968"
"336","2.612140940","127.0.0.1","127.0.0.1","TCP","66","43054  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682968 TSecr=440682968"
"338","2.613211331","127.0.0.1","127.0.0.1","TCP","66","4444  >  43072 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682969 TSecr=440682969"
"347","2.615695036","127.0.0.1","127.0.0.1","TCP","66","43092  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682972 TSecr=440682972"
"349","2.615730306","127.0.0.1","127.0.0.1","TCP","66","43068  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682972 TSecr=440682972"
"352","2.617823806","127.0.0.1","127.0.0.1","TCP","66","4444  >  43088 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440682974 TSecr=440682974"
"356","2.619645693","127.0.0.1","127.0.0.1","TCP","66","43072  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682976 TSecr=440682976"
"358","2.621593504","127.0.0.1","127.0.0.1","TCP","66","43088  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440682978 TSecr=440682978"
"377","2.633535500","127.0.0.1","127.0.0.1","TCP","66","43108  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682990 TSecr=440682990"
"386","2.635613635","127.0.0.1","127.0.0.1","TCP","66","43122  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682992 TSecr=440682992"
"391","2.635906550","127.0.0.1","127.0.0.1","TCP","66","43126  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682992 TSecr=440682992"
"394","2.636038970","127.0.0.1","127.0.0.1","TCP","66","43138  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440682992 TSecr=440682992"
"449","2.647730724","127.0.0.1","127.0.0.1","TCP","66","43146  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683004 TSecr=440683004"
"452","2.647927817","127.0.0.1","127.0.0.1","TCP","66","43152  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683004 TSecr=440683004"
"456","2.648093900","127.0.0.1","127.0.0.1","TCP","66","43162  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683004 TSecr=440683004"
"479","2.652642330","127.0.0.1","127.0.0.1","TCP","66","4444  >  43092 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683009 TSecr=440683009"
"488","2.654340737","127.0.0.1","127.0.0.1","TCP","66","43170  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683010 TSecr=440683010"
"492","2.656310269","127.0.0.1","127.0.0.1","TCP","66","43092  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440683012 TSecr=440683012"
"555","2.669683318","127.0.0.1","127.0.0.1","TCP","66","43174  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683026 TSecr=440683026"
"566","2.671687212","127.0.0.1","127.0.0.1","TCP","66","4444  >  43108 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683028 TSecr=440683028"
"581","2.673761505","127.0.0.1","127.0.0.1","TCP","66","4444  >  43122 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683030 TSecr=440683030"
"585","2.674175317","127.0.0.1","127.0.0.1","TCP","66","43188  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683030 TSecr=440683030"
"593","2.675849768","127.0.0.1","127.0.0.1","TCP","66","4444  >  43126 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683032 TSecr=440683032"
"597","2.677409190","127.0.0.1","127.0.0.1","TCP","66","4444  >  43138 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683034 TSecr=440683033"
"599","2.677892004","127.0.0.1","127.0.0.1","TCP","66","43108  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440683034 TSecr=440683034"
"608","2.678447384","127.0.0.1","127.0.0.1","TCP","66","43192  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683035 TSecr=440683035"
"614","2.678712642","127.0.0.1","127.0.0.1","TCP","66","43206  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683035 TSecr=440683035"
"617","2.678880751","127.0.0.1","127.0.0.1","TCP","66","43214  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683035 TSecr=440683035"
"620","2.679040548","127.0.0.1","127.0.0.1","TCP","66","43230  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683035 TSecr=440683035"
"624","2.679758589","127.0.0.1","127.0.0.1","TCP","66","43244  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683036 TSecr=440683036"
"626","2.680215213","127.0.0.1","127.0.0.1","TCP","66","43122  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440683036 TSecr=440683036"
"628","2.680241055","127.0.0.1","127.0.0.1","TCP","66","43126  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440683036 TSecr=440683036"
"629","2.680443036","127.0.0.1","127.0.0.1","TCP","66","4444  >  43042 [ACK] Seq=1836 Ack=763 Win=65536 Len=0 TSval=440683037 TSecr=440682995"
"630","2.680463151","127.0.0.1","127.0.0.1","TCP","66","43032  >  4444 [ACK] Seq=763 Ack=2195 Win=80640 Len=0 TSval=440683037 TSecr=440682994"
"644","2.684002860","127.0.0.1","127.0.0.1","TCP","66","43138  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440683040 TSecr=440683040"
"647","2.684569275","127.0.0.1","127.0.0.1","TCP","66","4444  >  43146 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683041 TSecr=440683041"
"650","2.686093217","127.0.0.1","127.0.0.1","TCP","66","4444  >  43152 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683042 TSecr=440683042"
"652","2.687380187","127.0.0.1","127.0.0.1","TCP","66","4444  >  43162 [ACK] Seq=1 Ack=237 Win=65280 Len=0 TSval=440683043 TSecr=440683043"
"655","2.687713262","127.0.0.1","127.0.0.1","TCP","66","43252  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=440683044 TSecr=440683044"
"657","2.688103257","127.0.0.1","127.0.0.1","TCP","66","43146  >  4444 [ACK] Seq=237 Ack=1490 Win=80000 Len=0 TSval=440683044 TSecr=440683044"
"658","2.688443385","127.0.0.1","127.0.0.1","TCP","66","4444  >  43054 [ACK] Seq=1836 Ack=763 Win=65536 Len=0 TSval=440683045 TSecr=440683003"
